4.52070e-05 1.41011e-22  -1.41010e-22 0.00000e+00 
4.53432e-05 1.41858e-22  -1.41857e-22 0.00000e+00 
4.54793e-05 1.42708e-22  -1.42707e-22 0.00000e+00 
4.56155e-05 1.43561e-22  -1.43559e-22 0.00000e+00 
4.57517e-05 1.44416e-22  -1.44415e-22 0.00000e+00 
4.58878e-05 1.45274e-22  -1.45273e-22 0.00000e+00 
4.60240e-05 1.46134e-22  -1.46133e-22 0.00000e+00 
4.61601e-05 1.46998e-22  -1.46996e-22 0.00000e+00 
4.62963e-05 1.47864e-22  -1.47862e-22 0.00000e+00 
4.64325e-05 1.48732e-22  -1.48731e-22 0.00000e+00 
4.65686e-05 1.49603e-22  -1.49602e-22 0.00000e+00 
4.67048e-05 1.50477e-22  -1.50476e-22 0.00000e+00 
4.68410e-05 1.51354e-22  -1.51352e-22 0.00000e+00 
4.69771e-05 1.52232e-22  -1.52231e-22 0.00000e+00 
4.71133e-05 1.53113e-22  -1.53112e-22 0.00000e+00 
4.72495e-05 1.53997e-22  -1.53996e-22 0.00000e+00 
4.73856e-05 1.54884e-22  -1.54882e-22 0.00000e+00 
4.75218e-05 1.55772e-22  -1.55771e-22 0.00000e+00 
4.76580e-05 1.56664e-22  -1.56663e-22 0.00000e+00 
4.77941e-05 1.57558e-22  -1.57557e-22 0.00000e+00 
4.79303e-05 1.58455e-22  -1.58453e-22 0.00000e+00 
4.80665e-05 1.59354e-22  -1.59352e-22 0.00000e+00 
4.82026e-05 1.60255e-22  -1.60254e-22 0.00000e+00 
4.83388e-05 1.61159e-22  -1.61158e-22 0.00000e+00 
4.84750e-05 1.62066e-22  -1.62064e-22 0.00000e+00 
4.86111e-05 1.62975e-22  -1.62973e-22 0.00000e+00 
4.87473e-05 1.63886e-22  -1.63885e-22 0.00000e+00 
4.88835e-05 1.64800e-22  -1.64799e-22 0.00000e+00 
4.90196e-05 1.65716e-22  -1.65715e-22 0.00000e+00 
4.91558e-05 1.66636e-22  -1.66634e-22 0.00000e+00 
4.92920e-05 1.67557e-22  -1.67556e-22 0.00000e+00 
4.94281e-05 1.68482e-22  -1.68480e-22 0.00000e+00 
4.95643e-05 1.69409e-22  -1.69408e-22 0.00000e+00 
4.97005e-05 1.70339e-22  -1.70338e-22 0.00000e+00 
4.98366e-05 1.71271e-22  -1.71270e-22 0.00000e+00 
4.99728e-05 1.72206e-22  -1.72205e-22 0.00000e+00 
5.01090e-05 1.73143e-22  -1.73142e-22 0.00000e+00 
5.02451e-05 1.74083e-22  -1.74082e-22 0.00000e+00 
5.03813e-05 1.75025e-22  -1.75024e-22 0.00000e+00 
5.05174e-05 1.75970e-22  -1.75969e-22 0.00000e+00 
5.06536e-05 1.76918e-22  -1.76917e-22 0.00000e+00 
5.07898e-05 1.77868e-22  -1.77867e-22 0.00000e+00 
5.09259e-05 1.78821e-22  -1.78820e-22 0.00000e+00 
5.10621e-05 1.79777e-22  -1.79776e-22 0.00000e+00 
5.11983e-05 1.80735e-22  -1.80734e-22 0.00000e+00 
5.13344e-05 1.81696e-22  -1.81694e-22 0.00000e+00 
5.14706e-05 1.82658e-22  -1.82657e-22 0.00000e+00 
5.16068e-05 1.83624e-22  -1.83623e-22 0.00000e+00 
5.17429e-05 1.84592e-22  -1.84591e-22 0.00000e+00 
5.18791e-05 1.85562e-22  -1.85561e-22 0.00000e+00 
5.20153e-05 1.86535e-22  -1.86534e-22 0.00000e+00 
