2.72331e-05 1.04307e-01  -2.80830e-21 0.00000e+00 
7.92486e-03 7.47981e+08  -7.47972e+08 0.00000e+00 
7.95209e-03 7.58316e+08  -7.58307e+08 0.00000e+00 
7.97933e-03 7.68757e+08  -7.68748e+08 0.00000e+00 
8.00656e-03 7.79306e+08  -7.79297e+08 0.00000e+00 
8.03379e-03 7.89963e+08  -7.89954e+08 0.00000e+00 
8.06103e-03 8.00729e+08  -8.00720e+08 0.00000e+00 
8.08826e-03 8.11605e+08  -8.11596e+08 0.00000e+00 
8.11549e-03 8.22591e+08  -8.22582e+08 0.00000e+00 
8.14273e-03 8.33688e+08  -8.33679e+08 0.00000e+00 
8.16996e-03 8.44898e+08  -8.44888e+08 0.00000e+00 
8.19719e-03 8.56219e+08  -8.56210e+08 0.00000e+00 
8.22443e-03 8.67655e+08  -8.67645e+08 0.00000e+00 
8.25166e-03 8.79204e+08  -8.79194e+08 0.00000e+00 
8.27889e-03 8.90868e+08  -8.90859e+08 0.00000e+00 
8.30613e-03 9.02648e+08  -9.02639e+08 0.00000e+00 
8.33336e-03 9.14545e+08  -9.14535e+08 0.00000e+00 
8.36059e-03 9.26558e+08  -9.26549e+08 0.00000e+00 
8.38783e-03 9.38690e+08  -9.38680e+08 0.00000e+00 
8.41506e-03 9.50940e+08  -9.50930e+08 0.00000e+00 
8.44229e-03 9.63310e+08  -9.63300e+08 0.00000e+00 
8.46953e-03 9.75800e+08  -9.75790e+08 0.00000e+00 
8.49676e-03 9.88412e+08  -9.88402e+08 0.00000e+00 
8.52399e-03 1.00114e+09  -1.00113e+09 0.00000e+00 
8.55123e-03 1.01400e+09  -1.01399e+09 0.00000e+00 
8.57846e-03 1.02698e+09  -1.02697e+09 0.00000e+00 
8.60569e-03 1.04008e+09  -1.04007e+09 0.00000e+00 
8.63293e-03 1.05331e+09  -1.05330e+09 0.00000e+00 
8.66016e-03 1.06667e+09  -1.06665e+09 0.00000e+00 
8.68739e-03 1.08015e+09  -1.08014e+09 0.00000e+00 
8.71463e-03 1.09375e+09  -1.09374e+09 0.00000e+00 
8.74186e-03 1.10749e+09  -1.10748e+09 0.00000e+00 
8.76909e-03 1.12136e+09  -1.12134e+09 0.00000e+00 
8.79633e-03 1.13535e+09  -1.13534e+09 0.00000e+00 
8.82356e-03 1.14948e+09  -1.14947e+09 0.00000e+00 
8.85079e-03 1.16373e+09  -1.16372e+09 0.00000e+00 
8.87803e-03 1.17812e+09  -1.17811e+09 0.00000e+00 
8.90526e-03 1.19264e+09  -1.19263e+09 0.00000e+00 
8.93249e-03 1.20730e+09  -1.20729e+09 0.00000e+00 
8.95973e-03 1.22209e+09  -1.22208e+09 0.00000e+00 
8.98696e-03 1.23702e+09  -1.23701e+09 0.00000e+00 
9.01419e-03 1.25208e+09  -1.25207e+09 0.00000e+00 
9.04143e-03 1.26728e+09  -1.26727e+09 0.00000e+00 
9.06866e-03 1.28262e+09  -1.28261e+09 0.00000e+00 
9.09589e-03 1.29809e+09  -1.29808e+09 0.00000e+00 
9.12313e-03 1.31371e+09  -1.31370e+09 0.00000e+00 
9.15036e-03 1.32947e+09  -1.32946e+09 0.00000e+00 
9.17760e-03 1.34536e+09  -1.34535e+09 0.00000e+00 
9.20483e-03 1.36140e+09  -1.36139e+09 0.00000e+00 
9.23206e-03 1.37759e+09  -1.37758e+09 0.00000e+00 
9.25930e-03 1.39391e+09  -1.39390e+09 0.00000e+00 
9.28653e-03 1.41039e+09  -1.41037e+09 0.00000e+00 
9.31376e-03 1.42700e+09  -1.42699e+09 0.00000e+00 
9.34100e-03 1.44377e+09  -1.44375e+09 0.00000e+00 
9.36823e-03 1.46068e+09  -1.46067e+09 0.00000e+00 
9.39546e-03 1.47774e+09  -1.47772e+09 0.00000e+00 
9.42270e-03 1.49494e+09  -1.49493e+09 0.00000e+00 
9.44993e-03 1.51230e+09  -1.51229e+09 0.00000e+00 
9.47716e-03 1.52981e+09  -1.52980e+09 0.00000e+00 
9.50440e-03 1.54747e+09  -1.54746e+09 0.00000e+00 
9.53163e-03 1.56528e+09  -1.56527e+09 0.00000e+00 
9.55886e-03 1.58325e+09  -1.58324e+09 0.00000e+00 
9.58610e-03 1.60137e+09  -1.60136e+09 0.00000e+00 
9.61333e-03 1.61965e+09  -1.61963e+09 0.00000e+00 
9.64056e-03 1.63808e+09  -1.63806e+09 0.00000e+00 
9.66780e-03 1.65666e+09  -1.65665e+09 0.00000e+00 
9.69503e-03 1.67541e+09  -1.67540e+09 0.00000e+00 
9.72226e-03 1.69431e+09  -1.69430e+09 0.00000e+00 
9.74950e-03 1.71338e+09  -1.71337e+09 0.00000e+00 
9.77673e-03 1.73260e+09  -1.73259e+09 0.00000e+00 
9.80396e-03 1.75199e+09  -1.75198e+09 0.00000e+00 
9.83120e-03 1.77154e+09  -1.77152e+09 0.00000e+00 
9.85843e-03 1.79125e+09  -1.79123e+09 0.00000e+00 
9.88566e-03 1.81112e+09  -1.81111e+09 0.00000e+00 
9.91290e-03 1.83116e+09  -1.83115e+09 0.00000e+00 
9.94013e-03 1.85137e+09  -1.85136e+09 0.00000e+00 
9.96736e-03 1.87174e+09  -1.87173e+09 0.00000e+00 
9.99460e-03 1.89228e+09  -1.89227e+09 0.00000e+00 
1.00218e-02 1.91299e+09  -1.91298e+09 0.00000e+00 
1.00491e-02 1.93387e+09  -1.93386e+09 0.00000e+00 
1.00763e-02 1.95492e+09  -1.95490e+09 0.00000e+00 
1.01035e-02 1.97614e+09  -1.97612e+09 0.00000e+00 
1.01308e-02 1.99753e+09  -1.99752e+09 0.00000e+00 
1.01580e-02 2.01910e+09  -2.01908e+09 0.00000e+00 
1.01852e-02 2.04084e+09  -2.04082e+09 0.00000e+00 
1.02125e-02 2.06275e+09  -2.06274e+09 0.00000e+00 
1.02397e-02 2.08484e+09  -2.08483e+09 0.00000e+00 
1.02669e-02 2.10711e+09  -2.10710e+09 0.00000e+00 
1.02942e-02 2.12956e+09  -2.12954e+09 0.00000e+00 
1.03214e-02 2.15218e+09  -2.15217e+09 0.00000e+00 
1.03486e-02 2.17499e+09  -2.17497e+09 0.00000e+00 
1.03759e-02 2.19797e+09  -2.19796e+09 0.00000e+00 
1.04031e-02 2.22114e+09  -2.22112e+09 0.00000e+00 
1.04303e-02 2.24449e+09  -2.24447e+09 0.00000e+00 
1.04576e-02 2.26802e+09  -2.26801e+09 0.00000e+00 
1.04848e-02 2.29174e+09  -2.29172e+09 0.00000e+00 
1.05120e-02 2.31564e+09  -2.31563e+09 0.00000e+00 
1.05393e-02 2.33973e+09  -2.33972e+09 0.00000e+00 
1.05665e-02 2.36401e+09  -2.36400e+09 0.00000e+00 
1.05937e-02 2.38848e+09  -2.38846e+09 0.00000e+00 
1.06210e-02 2.41313e+09  -2.41312e+09 0.00000e+00 
1.06482e-02 2.43798e+09  -2.43796e+09 0.00000e+00 
1.06754e-02 2.46301e+09  -2.46300e+09 0.00000e+00 
1.07027e-02 2.48824e+09  -2.48823e+09 0.00000e+00 
1.07299e-02 2.51367e+09  -2.51365e+09 0.00000e+00 
1.07571e-02 2.53928e+09  -2.53927e+09 0.00000e+00 
1.07844e-02 2.56510e+09  -2.56508e+09 0.00000e+00 
1.08116e-02 2.59110e+09  -2.59109e+09 0.00000e+00 
1.08388e-02 2.61731e+09  -2.61729e+09 0.00000e+00 
1.08661e-02 2.64371e+09  -2.64370e+09 0.00000e+00 
1.08933e-02 2.67032e+09  -2.67030e+09 0.00000e+00 
1.09205e-02 2.69712e+09  -2.69711e+09 0.00000e+00 
1.09478e-02 2.72413e+09  -2.72411e+09 0.00000e+00 
1.09750e-02 2.75133e+09  -2.75132e+09 0.00000e+00 
1.10022e-02 2.77875e+09  -2.77873e+09 0.00000e+00 
1.10295e-02 2.80636e+09  -2.80634e+09 0.00000e+00 
1.10567e-02 2.83418e+09  -2.83416e+09 0.00000e+00 
1.10839e-02 2.86221e+09  -2.86219e+09 0.00000e+00 
