7.89937e-06 2.35382e-03  5.34786e-13 0.00000e+00 
1.78526e-03 3.52664e+10  -3.52648e+10 0.00000e+00 
1.79316e-03 3.62107e+10  -3.62091e+10 0.00000e+00 
1.80106e-03 3.71761e+10  -3.71745e+10 0.00000e+00 
1.80896e-03 3.81628e+10  -3.81611e+10 0.00000e+00 
1.81685e-03 3.91712e+10  -3.91695e+10 0.00000e+00 
1.82475e-03 4.02017e+10  -4.02000e+10 0.00000e+00 
1.83265e-03 4.12547e+10  -4.12530e+10 0.00000e+00 
1.84055e-03 4.23306e+10  -4.23289e+10 0.00000e+00 
1.84845e-03 4.34298e+10  -4.34281e+10 0.00000e+00 
1.85635e-03 4.45527e+10  -4.45509e+10 0.00000e+00 
1.86425e-03 4.56997e+10  -4.56978e+10 0.00000e+00 
1.87215e-03 4.68711e+10  -4.68692e+10 0.00000e+00 
1.88005e-03 4.80675e+10  -4.80656e+10 0.00000e+00 
1.88795e-03 4.92892e+10  -4.92872e+10 0.00000e+00 
1.89585e-03 5.05366e+10  -5.05347e+10 0.00000e+00 
1.90375e-03 5.18103e+10  -5.18083e+10 0.00000e+00 
1.91165e-03 5.31106e+10  -5.31086e+10 0.00000e+00 
1.91955e-03 5.44380e+10  -5.44359e+10 0.00000e+00 
1.92745e-03 5.57929e+10  -5.57908e+10 0.00000e+00 
1.93534e-03 5.71758e+10  -5.71737e+10 0.00000e+00 
1.94324e-03 5.85871e+10  -5.85850e+10 0.00000e+00 
1.95114e-03 6.00274e+10  -6.00252e+10 0.00000e+00 
1.95904e-03 6.14970e+10  -6.14948e+10 0.00000e+00 
1.96694e-03 6.29965e+10  -6.29942e+10 0.00000e+00 
1.97484e-03 6.45263e+10  -6.45240e+10 0.00000e+00 
1.98274e-03 6.60870e+10  -6.60847e+10 0.00000e+00 
1.99064e-03 6.76790e+10  -6.76766e+10 0.00000e+00 
1.99854e-03 6.93028e+10  -6.93004e+10 0.00000e+00 
2.00644e-03 7.09590e+10  -7.09565e+10 0.00000e+00 
2.01434e-03 7.26480e+10  -7.26455e+10 0.00000e+00 
2.02224e-03 7.43703e+10  -7.43678e+10 0.00000e+00 
2.03014e-03 7.61266e+10  -7.61240e+10 0.00000e+00 
2.03804e-03 7.79173e+10  -7.79146e+10 0.00000e+00 
2.04594e-03 7.97429e+10  -7.97402e+10 0.00000e+00 
2.05384e-03 8.16040e+10  -8.16013e+10 0.00000e+00 
2.06173e-03 8.35012e+10  -8.34985e+10 0.00000e+00 
2.06963e-03 8.54351e+10  -8.54323e+10 0.00000e+00 
2.07753e-03 8.74060e+10  -8.74032e+10 0.00000e+00 
2.08543e-03 8.94148e+10  -8.94119e+10 0.00000e+00 
2.09333e-03 9.14618e+10  -9.14589e+10 0.00000e+00 
2.10123e-03 9.35478e+10  -9.35448e+10 0.00000e+00 
2.10913e-03 9.56732e+10  -9.56702e+10 0.00000e+00 
2.11703e-03 9.78387e+10  -9.78357e+10 0.00000e+00 
2.12493e-03 1.00045e+11  -1.00042e+11 0.00000e+00 
2.13283e-03 1.02292e+11  -1.02289e+11 0.00000e+00 
2.14073e-03 1.04582e+11  -1.04579e+11 0.00000e+00 
2.14863e-03 1.06914e+11  -1.06911e+11 0.00000e+00 
2.15653e-03 1.09289e+11  -1.09286e+11 0.00000e+00 
2.16443e-03 1.11708e+11  -1.11705e+11 0.00000e+00 
2.17233e-03 1.14171e+11  -1.14168e+11 0.00000e+00 
2.18023e-03 1.16680e+11  -1.16676e+11 0.00000e+00 
2.18812e-03 1.19234e+11  -1.19231e+11 0.00000e+00 
2.19602e-03 1.21835e+11  -1.21831e+11 0.00000e+00 
2.20392e-03 1.24482e+11  -1.24479e+11 0.00000e+00 
2.21182e-03 1.27178e+11  -1.27174e+11 0.00000e+00 
2.21972e-03 1.29922e+11  -1.29918e+11 0.00000e+00 
2.22762e-03 1.32715e+11  -1.32711e+11 0.00000e+00 
2.23552e-03 1.35558e+11  -1.35554e+11 0.00000e+00 
2.24342e-03 1.38452e+11  -1.38448e+11 0.00000e+00 
