2.82995e-02 2.67361e+11  -2.67355e+11 0.00000e+00 
2.84342e-02 2.72506e+11  -2.72500e+11 0.00000e+00 
2.85688e-02 2.77724e+11  -2.77718e+11 0.00000e+00 
2.87034e-02 2.83017e+11  -2.83011e+11 0.00000e+00 
2.88380e-02 2.88385e+11  -2.88379e+11 0.00000e+00 
2.89726e-02 2.93829e+11  -2.93823e+11 0.00000e+00 
2.91072e-02 2.99350e+11  -2.99343e+11 0.00000e+00 
2.92418e-02 3.04948e+11  -3.04941e+11 0.00000e+00 
2.93764e-02 3.10624e+11  -3.10617e+11 0.00000e+00 
2.95110e-02 3.16379e+11  -3.16372e+11 0.00000e+00 
2.96455e-02 3.22213e+11  -3.22206e+11 0.00000e+00 
2.97801e-02 3.28127e+11  -3.28121e+11 0.00000e+00 
2.99146e-02 3.34123e+11  -3.34116e+11 0.00000e+00 
3.00492e-02 3.40200e+11  -3.40193e+11 0.00000e+00 
3.01837e-02 3.46359e+11  -3.46352e+11 0.00000e+00 
3.03182e-02 3.52602e+11  -3.52595e+11 0.00000e+00 
3.04528e-02 3.58929e+11  -3.58922e+11 0.00000e+00 
3.05873e-02 3.65340e+11  -3.65333e+11 0.00000e+00 
3.07218e-02 3.71837e+11  -3.71830e+11 0.00000e+00 
3.08563e-02 3.78420e+11  -3.78412e+11 0.00000e+00 
3.09908e-02 3.85089e+11  -3.85082e+11 0.00000e+00 
3.11253e-02 3.91847e+11  -3.91839e+11 0.00000e+00 
3.12597e-02 3.98693e+11  -3.98685e+11 0.00000e+00 
3.13942e-02 4.05628e+11  -4.05620e+11 0.00000e+00 
3.15287e-02 4.12653e+11  -4.12645e+11 0.00000e+00 
3.16631e-02 4.19768e+11  -4.19761e+11 0.00000e+00 
3.17976e-02 4.26976e+11  -4.26968e+11 0.00000e+00 
3.19320e-02 4.34275e+11  -4.34267e+11 0.00000e+00 
3.20665e-02 4.41668e+11  -4.41660e+11 0.00000e+00 
3.22009e-02 4.49154e+11  -4.49146e+11 0.00000e+00 
